name,psnr,bpp
kodim01,24.436039,0.10152
kodim02,29.009375,0.047747
kodim03,29.773563,0.053294
kodim04,28.431469,0.058979
kodim05,24.271701,0.16789
kodim06,25.508418,0.086626
kodim07,28.430615,0.084901
kodim08,24.186056,0.184779
kodim09,29.056169,0.067289
kodim10,29.062356,0.068297
kodim11,26.491891,0.082779
kodim12,29.491678,0.050432
kodim13,22.581826,0.174424
kodim14,25.432272,0.111564
kodim15,28.802831,0.058376
kodim16,27.567236,0.055327
kodim17,28.274295,0.077127
kodim18,24.86266,0.108917
kodim19,27.459331,0.081019
kodim20,29.4306,0.067204
kodim21,26.094386,0.100904
kodim22,26.661868,0.074004
kodim23,30.32626,0.06547
kodim24,25.148148,0.124556
,avg_psnr,avg_bpp
,27.11629345833334,0.08972604166666666
